# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
43,209.48069152350411,209.63610502278672,0.00074189892229365069,205.92026552645765,0.016996439963761361,209.73591774603011,0.0012183758830935896
44,223.21969227679318,223.2201546428968,2.071349973217529e-06,220.19915375351013,0.013531684827956723,223.49396351172064,0.0012287053715106678
45,223.63263318269199,223.61332843686259,8.6323474148923405e-05,220.26749111731851,0.015047634227087036,223.92257683207785,0.0012965176202571393
46,236.20230841359805,236.51141519206467,0.0013086526568799309,231.87108015024535,0.018336942989433343,236.5740318513736,0.0015737502324687587
47,238.41687166179238,238.41396828119932,1.2177748046231632e-05,234.19785170590151,0.017695979007206278,238.76178777791748,0.0014466934060538049
48,246.74011002715065,246.74011002723992,3.6180817667251447e-13,243.27175320548147,0.014056720738624646,247.10831569146796,0.0014922813492982518
49,246.74011002718294,246.74011002724731,2.6090274440087174e-13,243.27175320549168,0.014056720738712308,247.12515074632361,0.0015605112565535318
50,250.8210109513131,250.93233980827634,0.00044385777946190602,244.89061777859052,0.023643925005444315,251.23125087269648,0.0016355883417717781
51,252.87422481007675,252.85797549614057,6.4258482446717742e-05,246.52616732416132,0.025103616197669782,253.28730667487713,0.0016335467369623133
52,256.60971442830657,256.60971442832556,7.3986684182271032e-14,250.19571049744479,0.024995171929290974,257.02803473151505,0.0016301810870271946
53,256.60971442841782,256.60971442833119,3.3759193620877898e-13,250.19571049745585,0.024995171929670563,257.03870093473228,0.0016717469456290837
54,265.78657275846973,266.11763152875295,0.0012455812453101851,260.520982631295,0.019811347400004939,266.29453139107943,0.0019111523480582341
55,269.43978797652272,269.45128310307405,4.2663062636932196e-05,264.3253553513693,0.018981727470773788,269.91139583374127,0.0017503274507462007
56,270.2255489821809,270.21656811696994,3.3234700585437286e-05,264.89369345098953,0.019731130351197682,270.71764444743354,0.00182105454908372
57,281.35073059206644,281.31207017750449,0.00013741003792877996,275.9648154190786,0.01914306446496112,281.93662388487741,0.0020824303230989596
58,286.21852763152754,286.21852763158722,2.0853153811442475e-13,279.64948930894877,0.02295112890467951,286.79835486994091,0.0020258200725559996
59,286.21852763170153,286.21852763159507,3.7198054370293341e-13,279.6494893089536,0.022951128905256597,286.81149627808134,0.0020717339694473536
60,289.09561399985051,289.28719642608934,0.0006626957205892554,283.70981008953049,0.018629836114783832,289.73465689040313,0.0022104897466654299
61,293.60716594871974,293.60230853749852,1.6543912358297158e-05,288.73053215696092,0.016609382730837549,294.22469805099695,0.002103259640417173
62,306.7803738735451,306.77239517525516,2.6007851119039223e-05,297.74771703706904,0.029443398619102428,307.50367069163872,0.0023577023815472579
63,306.93827732718324,306.94022324132862,6.3397571730897197e-06,298.12342263025141,0.028718655664883297,307.66757764617699,0.0023760487787463126
64,310.3724639000194,310.48993708102137,0.00037849098958666358,303.36720209767822,0.022570500341157176,311.11321500229519,0.0023866521306942145
65,313.79123654041371,313.75977656508621,0.0001002576607120816,306.40356395708761,0.023543272478785821,314.55609727094594,0.0024374827639067182
66,315.82734083476942,315.82734083485747,2.787930126082933e-13,310.56163025801987,0.016672750886074773,316.60740269357245,0.0024698997140058894
67,335.55459370983107,335.5665496370367,3.5630348771122364e-05,326.11121631231089,0.028142596091789127,336.48831110257862,0.0027826094777143183
68,335.56654963701698,335.56654963703841,6.3862053395087992e-14,326.5022398923212,0.027011958595100315,336.50177286478606,0.0027869977766875717
69,335.56654963734769,335.82170556766778,0.00076037355509909229,328.32739368653347,0.021572936750214516,336.54694578464552,0.0029216146494856379
